running build_ext
Failed to import optional module imus. Install optional dependencies
Failed to import optional module misc. Install optional dependencies
Using cuda device
Logging to rl/out_dir/models/exp74/PPO_3
---------------------------------
| rollout/           |          |
| train/                  |             |
|    approx_kl            | 0.037831835 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.4         |
|    entropy_loss         | -19.3       |
|    explained_variance   | 0.398       |
|    learning_rate        | 0.0003      |
|    loss                 | 88.6        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0412     |
|    std                  | 0.368       |
|    value_loss           | 572         |
-----------------------------------------
----------------------------------------
| reward                  | -2.04      |
| reward_contact          | -0.0473    |
| reward_ctrl             | 2.74e-05   |
| reward_motion           | 6.05e-07   |
| reward_position         | 9.08e-05   |
| reward_torque           | -2.8       |
| reward_velocity         | 0.8        |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 634        |
| time/                   |            |
|    fps                  | 207        |
|    iterations           | 8          |
|    time_elapsed         | 39         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.04968562 |
|    clip_fraction        | 0.153      |
|    clip_range           | 0.4        |
|    entropy_loss         | -18.9      |
|    explained_variance   | 0.83       |
|    learning_rate        | 0.0003     |
|    loss                 | 62.2       |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.0584    |
|    std                  | 0.368      |
|    value_loss           | 608        |
----------------------------------------
----------------------------------------
| reward                  | -1.93      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 2.63e-05   |
| reward_motion           | 5.87e-07   |
| reward_position         | 8.8e-05    |
| reward_torque           | -2.66      |
| reward_velocity         | 0.781      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 618        |
| time/                   |            |
|    fps                  | 207        |
|    iterations           | 9          |
|    time_elapsed         | 44         |
|    total_timesteps      | 9216       |
| train/                  |            |
|    approx_kl            | 0.10000177 |
|    clip_fraction        | 0.201      |
|    clip_range           | 0.4        |
|    entropy_loss         | -14.6      |
|    explained_variance   | 0.704      |
|    learning_rate        | 0.0003     |
|    loss                 | 53.1       |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0886    |
|    std                  | 0.368      |
|    value_loss           | 664        |
----------------------------------------
-----------------------------------------
| reward                  | -2          |
| reward_contact          | -0.0473     |
| reward_ctrl             | 2.54e-05    |
| reward_motion           | 5.8e-07     |
| reward_position         | 8.71e-05    |
| reward_torque           | -2.72       |
| reward_velocity         | 0.763       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 659         |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 10          |
|    time_elapsed         | 49          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.045438074 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.4         |
|    entropy_loss         | -17.7       |
|    explained_variance   | 0.73        |
|    learning_rate        | 0.0003      |
|    loss                 | 114         |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0477     |
|    std                  | 0.368       |
|    value_loss           | 853         |
-----------------------------------------
-----------------------------------------
| reward                  | -1.87       |
| reward_contact          | -0.0473     |
| reward_ctrl             | 2.56e-05    |
| reward_motion           | 5.89e-07    |
| reward_position         | 8.84e-05    |
| reward_torque           | -2.59       |
| reward_velocity         | 0.77        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 679         |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 11          |
|    time_elapsed         | 54          |
|    total_timesteps      | 11264       |
| train/                  |             |
|    approx_kl            | 0.087017946 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.4         |
|    entropy_loss         | -14.2       |
|    explained_variance   | 0.722       |
|    learning_rate        | 0.0003      |
|    loss                 | 60.4        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0688     |
|    std                  | 0.368       |
|    value_loss           | 643         |
-----------------------------------------
Num timesteps: 12000
Best mean reward: 630.72 - Last mean reward per episode: 678.77
Saving new best model to rl/out_dir/models/exp74/best_model.zip
-----------------------------------------
| reward                  | -1.94       |
| reward_contact          | -0.0473     |
| reward_ctrl             | 2.5e-05     |
| reward_motion           | 5.78e-07    |
| reward_position         | 8.67e-05    |
| reward_torque           | -2.68       |
| reward_velocity         | 0.786       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 666         |
| time/                   |             |
|    fps                  | 205         |
|    iterations           | 12          |
|    time_elapsed         | 59          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.037214965 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.4         |
|    entropy_loss         | -18.8       |
|    explained_variance   | 0.802       |
|    learning_rate        | 0.0003      |
|    loss                 | 108         |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0488     |
|    std                  | 0.368       |
|    value_loss           | 700         |
-----------------------------------------
----------------------------------------
| reward                  | -1.95      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 3.45e-05   |
| reward_motion           | 7.29e-07   |
| reward_position         | 0.000109   |
| reward_torque           | -2.69      |
| reward_velocity         | 0.787      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 701        |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 13         |
|    time_elapsed         | 65         |
|    total_timesteps      | 13312      |
| train/                  |            |
|    approx_kl            | 0.03277895 |
|    clip_fraction        | 0.0793     |
|    clip_range           | 0.4        |
|    entropy_loss         | -17        |
|    explained_variance   | 0.927      |
|    learning_rate        | 0.0003     |
|    loss                 | 91.2       |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0453    |
|    std                  | 0.368      |
|    value_loss           | 757        |
----------------------------------------
----------------------------------------
| reward                  | -1.93      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 3.49e-05   |
| reward_motion           | 7.56e-07   |
| reward_position         | 0.000113   |
| reward_torque           | -2.67      |
| reward_velocity         | 0.782      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 730        |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 14         |
|    time_elapsed         | 70         |
|    total_timesteps      | 14336      |
| train/                  |            |
|    approx_kl            | 0.09893784 |
|    clip_fraction        | 0.214      |
|    clip_range           | 0.4        |
|    entropy_loss         | -14        |
|    explained_variance   | 0.858      |
|    learning_rate        | 0.0003     |
|    loss                 | 88         |
|    n_updates            | 260        |
|    policy_gradient_loss | -0.0915    |
|    std                  | 0.368      |
|    value_loss           | 739        |
----------------------------------------
-----------------------------------------
| reward                  | -1.93       |
| reward_contact          | -0.0472     |
| reward_ctrl             | 3.75e-05    |
| reward_motion           | 7.95e-07    |
| reward_position         | 0.000119    |
| reward_torque           | -2.68       |
| reward_velocity         | 0.79        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 761         |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 15          |
|    time_elapsed         | 75          |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.059402347 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.4         |
|    entropy_loss         | -16         |
|    explained_variance   | 0.92        |
|    learning_rate        | 0.0003      |
|    loss                 | 56.6        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0687     |
|    std                  | 0.368       |
|    value_loss           | 501         |
-----------------------------------------
----------------------------------------
| reward                  | -1.92      |
| reward_contact          | -0.0473    |
| reward_ctrl             | 3.97e-05   |
| reward_motion           | 8.62e-07   |
| reward_position         | 0.000129   |
| reward_torque           | -2.68      |
| reward_velocity         | 0.802      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 772        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 16         |
|    time_elapsed         | 80         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.05526676 |
|    clip_fraction        | 0.163      |
|    clip_range           | 0.4        |
|    entropy_loss         | -15        |
|    explained_variance   | 0.947      |
|    learning_rate        | 0.0003     |
|    loss                 | 166        |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0708    |
|    std                  | 0.368      |
|    value_loss           | 819        |
----------------------------------------
-----------------------------------------
| reward                  | -1.93       |
| reward_contact          | -0.0473     |
| reward_ctrl             | 4.02e-05    |
| reward_motion           | 8.65e-07    |
| reward_position         | 0.00013     |
| reward_torque           | -2.68       |
| reward_velocity         | 0.803       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 792         |
| time/                   |             |
|    fps                  | 202         |
|    iterations           | 17          |
|    time_elapsed         | 85          |
|    total_timesteps      | 17408       |
| train/                  |             |
|    approx_kl            | 0.072550446 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.4         |
|    entropy_loss         | -15.6       |
|    explained_variance   | 0.95        |
|    learning_rate        | 0.0003      |
|    loss                 | 165         |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0741     |
|    std                  | 0.368       |
|    value_loss           | 811         |
-----------------------------------------
Num timesteps: 18000
Best mean reward: 678.77 - Last mean reward per episode: 791.68
Saving new best model to rl/out_dir/models/exp74/best_model.zip
-----------------------------------------
| reward                  | -1.88       |
| reward_contact          | -0.0472     |
| reward_ctrl             | 4.31e-05    |
| reward_motion           | 9e-07       |
| reward_position         | 0.000135    |
| reward_torque           | -2.64       |
| reward_velocity         | 0.809       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 797         |
| time/                   |             |
|    fps                  | 202         |
|    iterations           | 18          |
|    time_elapsed         | 91          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.050225984 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.4         |
|    entropy_loss         | -16.4       |
|    explained_variance   | 0.918       |
|    learning_rate        | 0.0003      |
|    loss                 | 94          |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0662     |
|    std                  | 0.368       |
|    value_loss           | 709         |
-----------------------------------------
----------------------------------------
| reward                  | -1.88      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 4.34e-05   |
| reward_motion           | 9.03e-07   |
| reward_position         | 0.000135   |
| reward_torque           | -2.65      |
| reward_velocity         | 0.82       |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 790        |
| time/                   |            |
|    fps                  | 201        |
|    iterations           | 19         |
|    time_elapsed         | 96         |
|    total_timesteps      | 19456      |
| train/                  |            |
|    approx_kl            | 0.04830476 |
|    clip_fraction        | 0.149      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.4      |
|    explained_variance   | 0.958      |
|    learning_rate        | 0.0003     |
|    loss                 | 161        |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0546    |
|    std                  | 0.368      |
|    value_loss           | 733        |
----------------------------------------
----------------------------------------
| reward                  | -1.89      |
| reward_contact          | -0.0473    |
| reward_ctrl             | 4.26e-05   |
| reward_motion           | 8.8e-07    |
| reward_position         | 0.000132   |
| reward_torque           | -2.65      |
| reward_velocity         | 0.814      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 773        |
| time/                   |            |
|    fps                  | 201        |
|    iterations           | 20         |
|    time_elapsed         | 101        |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.06929466 |
|    clip_fraction        | 0.188      |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.3      |
|    explained_variance   | 0.949      |
|    learning_rate        | 0.0003     |
|    loss                 | 116        |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0651    |
|    std                  | 0.368      |
|    value_loss           | 760        |
----------------------------------------
-----------------------------------------
| reward                  | -1.91       |
| reward_contact          | -0.0473     |
| reward_ctrl             | 4.11e-05    |
| reward_motion           | 8.51e-07    |
| reward_position         | 0.000128    |
| reward_torque           | -2.67       |
| reward_velocity         | 0.808       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 775         |
| time/                   |             |
|    fps                  | 201         |
|    iterations           | 21          |
|    time_elapsed         | 106         |
|    total_timesteps      | 21504       |
| train/                  |             |
|    approx_kl            | 0.062169574 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.4         |
|    entropy_loss         | -14.9       |
|    explained_variance   | 0.957       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.27e+03    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0579     |
|    std                  | 0.368       |
|    value_loss           | 864         |
-----------------------------------------
-----------------------------------------
| reward                  | -1.94       |
| reward_contact          | -0.0473     |
| reward_ctrl             | 3.99e-05    |
| reward_motion           | 8.29e-07    |
| reward_position         | 0.000124    |
| reward_torque           | -2.7        |
| reward_velocity         | 0.806       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 771         |
| time/                   |             |
|    fps                  | 201         |
|    iterations           | 22          |
|    time_elapsed         | 111         |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.046546943 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.4         |
|    entropy_loss         | -15.1       |
|    explained_variance   | 0.958       |
|    learning_rate        | 0.0003      |
|    loss                 | 722         |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0547     |
|    std                  | 0.368       |
|    value_loss           | 815         |
-----------------------------------------
----------------------------------------
| reward                  | -1.98      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 4.12e-05   |
| reward_motion           | 8.62e-07   |
| reward_position         | 0.000129   |
| reward_torque           | -2.74      |
| reward_velocity         | 0.802      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 792        |
| time/                   |            |
|    fps                  | 201        |
|    iterations           | 23         |
|    time_elapsed         | 116        |
|    total_timesteps      | 23552      |
| train/                  |            |
|    approx_kl            | 0.03915607 |
|    clip_fraction        | 0.122      |
|    clip_range           | 0.4        |
|    entropy_loss         | -17.2      |
|    explained_variance   | 0.904      |
|    learning_rate        | 0.0003     |
|    loss                 | 146        |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.0404    |
|    std                  | 0.368      |
|    value_loss           | 648        |
----------------------------------------
Num timesteps: 24000
Best mean reward: 791.68 - Last mean reward per episode: 791.71
Saving new best model to rl/out_dir/models/exp74/best_model.zip
-----------------------------------------
| reward                  | -2.04       |
| reward_contact          | -0.0472     |
| reward_ctrl             | 4.23e-05    |
| reward_motion           | 8.77e-07    |
| reward_position         | 0.000132    |
| reward_torque           | -2.79       |
| reward_velocity         | 0.804       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 765         |
| time/                   |             |
|    fps                  | 202         |
|    iterations           | 24          |
|    time_elapsed         | 121         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.039605044 |
|    clip_fraction        | 0.089       |
|    clip_range           | 0.4         |
|    entropy_loss         | -14.9       |
|    explained_variance   | 0.961       |
|    learning_rate        | 0.0003      |
|    loss                 | 219         |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.0567     |
|    std                  | 0.368       |
|    value_loss           | 903         |
-----------------------------------------
---------------------------------------
| reward                  | -2.02     |
| reward_contact          | -0.0472   |
| reward_ctrl             | 4.09e-05  |
| reward_motion           | 8.53e-07  |
| reward_position         | 0.000128  |
| reward_torque           | -2.77     |
| reward_velocity         | 0.797     |
| rollout/                |           |
|    ep_len_mean          | 1.02e+03  |
|    ep_rew_mean          | 771       |
| time/                   |           |
|    fps                  | 202       |
|    iterations           | 25        |
|    time_elapsed         | 126       |
|    total_timesteps      | 25600     |
| train/                  |           |
|    approx_kl            | 0.0371536 |
|    clip_fraction        | 0.0811    |
|    clip_range           | 0.4       |
|    entropy_loss         | -16.7     |
|    explained_variance   | 0.951     |
|    learning_rate        | 0.0003    |
|    loss                 | 354       |
|    n_updates            | 480       |
|    policy_gradient_loss | -0.0502   |
|    std                  | 0.368     |
|    value_loss           | 939       |
---------------------------------------
-----------------------------------------
| reward                  | -2          |
| reward_contact          | -0.0472     |
| reward_ctrl             | 4.01e-05    |
| reward_motion           | 8.38e-07    |
| reward_position         | 0.000126    |
| reward_torque           | -2.74       |
| reward_velocity         | 0.79        |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 768         |
| time/                   |             |
|    fps                  | 202         |
|    iterations           | 26          |
|    time_elapsed         | 131         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.063086435 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.4         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.968       |
|    learning_rate        | 0.0003      |
|    loss                 | 92.9        |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.0678     |
|    std                  | 0.368       |
|    value_loss           | 771         |
-----------------------------------------
-----------------------------------------
| reward                  | -1.99       |
| reward_contact          | -0.0472     |
| reward_ctrl             | 3.95e-05    |
| reward_motion           | 8.27e-07    |
| reward_position         | 0.000124    |
| reward_torque           | -2.73       |
| reward_velocity         | 0.788       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 769         |
| time/                   |             |
|    fps                  | 202         |
|    iterations           | 27          |
|    time_elapsed         | 136         |
|    total_timesteps      | 27648       |
| train/                  |             |
|    approx_kl            | 0.055129383 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.4         |
|    entropy_loss         | -14.3       |
|    explained_variance   | 0.962       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.1e+03     |
|    n_updates            | 520         |
|    policy_gradient_loss | -0.0717     |
|    std                  | 0.368       |
|    value_loss           | 819         |
-----------------------------------------
---------------------------------------
| reward                  | -2.03     |
| reward_contact          | -0.0472   |
| reward_ctrl             | 3.95e-05  |
| reward_motion           | 8.25e-07  |
| reward_position         | 0.000124  |
| reward_torque           | -2.77     |
| reward_velocity         | 0.783     |
| rollout/                |           |
|    ep_len_mean          | 1.02e+03  |
|    ep_rew_mean          | 744       |
| time/                   |           |
|    fps                  | 202       |
|    iterations           | 28        |
|    time_elapsed         | 141       |
|    total_timesteps      | 28672     |
| train/                  |           |
|    approx_kl            | 0.0534485 |
|    clip_fraction        | 0.145     |
|    clip_range           | 0.4       |
|    entropy_loss         | -15.5     |
|    explained_variance   | 0.964     |
|    learning_rate        | 0.0003    |
|    loss                 | 203       |
|    n_updates            | 540       |
|    policy_gradient_loss | -0.0704   |
|    std                  | 0.368     |
|    value_loss           | 804       |
---------------------------------------
----------------------------------------
| reward                  | -2.07      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 3.83e-05   |
| reward_motion           | 8.01e-07   |
| reward_position         | 0.00012    |
| reward_torque           | -2.81      |
| reward_velocity         | 0.786      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 723        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 29         |
|    time_elapsed         | 146        |
|    total_timesteps      | 29696      |
| train/                  |            |
|    approx_kl            | 0.05150444 |
|    clip_fraction        | 0.171      |
|    clip_range           | 0.4        |
|    entropy_loss         | -18.8      |
|    explained_variance   | 0.967      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.27e+03   |
|    n_updates            | 560        |
|    policy_gradient_loss | -0.0435    |
|    std                  | 0.368      |
|    value_loss           | 829        |
----------------------------------------
Num timesteps: 30000
Best mean reward: 791.71 - Last mean reward per episode: 722.75
----------------------------------------
| reward                  | -2.11      |
| reward_contact          | -0.0471    |
| reward_ctrl             | 4.27e-05   |
| reward_motion           | 8.7e-07    |
| reward_position         | 0.00013    |
| reward_torque           | -2.84      |
| reward_velocity         | 0.78       |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 701        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 30         |
|    time_elapsed         | 151        |
|    total_timesteps      | 30720      |
| train/                  |            |
|    approx_kl            | 0.06510179 |
|    clip_fraction        | 0.225      |
|    clip_range           | 0.4        |
|    entropy_loss         | -17.9      |
|    explained_variance   | 0.951      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.35e+03   |
|    n_updates            | 580        |
|    policy_gradient_loss | -0.046     |
|    std                  | 0.368      |
|    value_loss           | 806        |
----------------------------------------
-----------------------------------------
| reward                  | -2.12       |
| reward_contact          | -0.0471     |
| reward_ctrl             | 4.18e-05    |
| reward_motion           | 8.55e-07    |
| reward_position         | 0.000128    |
| reward_torque           | -2.85       |
| reward_velocity         | 0.777       |
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | 705         |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 31          |
|    time_elapsed         | 156         |
|    total_timesteps      | 31744       |
| train/                  |             |
|    approx_kl            | 0.051414184 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.4         |
|    entropy_loss         | -17.3       |
|    explained_variance   | 0.819       |
|    learning_rate        | 0.0003      |
|    loss                 | 642         |
|    n_updates            | 600         |
|    policy_gradient_loss | -0.0474     |
|    std                  | 0.368       |
|    value_loss           | 672         |
-----------------------------------------
----------------------------------------
| reward                  | -2.15      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 4.15e-05   |
| reward_motion           | 8.57e-07   |
| reward_position         | 0.000129   |
| reward_torque           | -2.87      |
| reward_velocity         | 0.775      |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 719        |
| time/                   |            |
|    fps                  | 202        |
|    iterations           | 32         |
|    time_elapsed         | 161        |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.07030794 |
|    clip_fraction        | 0.15       |
|    clip_range           | 0.4        |
|    entropy_loss         | -16.1      |
|    explained_variance   | 0.924      |
|    learning_rate        | 0.0003     |
|    loss                 | 680        |
|    n_updates            | 620        |
|    policy_gradient_loss | -0.0665    |
|    std                  | 0.368      |
|    value_loss           | 708        |
----------------------------------------
----------------------------------------
| reward                  | -2.16      |
| reward_contact          | -0.0472    |
| reward_ctrl             | 4.1e-05    |
| reward_motion           | 8.48e-07   |
| reward_position         | 0.000127   |
| reward_torque           | -2.89      |
| reward_velocity         | 0.77       |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 728        |
| time/                   |            |
|    fps                  | 202        |
|    iterations           | 33         |
|    time_elapsed         | 166        |
|    total_timesteps      | 33792      |
| train/                  |            |
|    approx_kl            | 0.07115512 |
|    clip_fraction        | 0.217      |
